Commune A;Commune B;Distance
SAINT-QUENTIN;NARBONNE;52
SAINT-QUENTIN;BESANCON;60
SAINT-QUENTIN;BEZIERS;24
SAINT-QUENTIN;MONTPELLIER;66
SAINT-QUENTIN;CHOLET;88
SAINT-QUENTIN;ANGERS;90
SAINT-QUENTIN;REIMS;99
SAINT-QUENTIN;ROUBAIX;94
SAINT-QUENTIN;VILLENEUVE-D'ASCQ;93
SAINT-QUENTIN;LILLE;90
SAINT-QUENTIN;TOURCOING;97
SAINT-QUENTIN;ANNECY;88
SAINT-QUENTIN;NIORT;54
SAINT-QUENTIN;POITIERS;54
SAINT-QUENTIN;TAMPON;87
GRASSE;ANTIBES;23
GRASSE;CANNES;14
GRASSE;NICE;37
GRASSE;BOURGES;26
GRASSE;EVREUX;82
GRASSE;QUIMPER;95
GRASSE;TOULOUSE;88
GRASSE;ORLEANS;91
GRASSE;ROUEN;61
GRASSE;LE HAVRE;71
GRASSE;MONTAUBAN;81
GRASSE;FREJUS;29
GRASSE;FORT-DE-FRANCE;87
GRASSE;SAINT-LOUIS;77
GRASSE;MAMOUDZOU;68
ANTIBES;CANNES;11
ANTIBES;NICE;16
ANTIBES;BOURGES;29
ANTIBES;EVREUX;60
ANTIBES;QUIMPER;85
ANTIBES;BREST;87
ANTIBES;TOULOUSE;66
ANTIBES;ORLEANS;74
ANTIBES;CALAIS;98
ANTIBES;STRASBOURG;79
ANTIBES;ROUEN;38
ANTIBES;LE HAVRE;85
ANTIBES;MONTAUBAN;60
ANTIBES;FREJUS;44
ANTIBES;FORT-DE-FRANCE;66
ANTIBES;MAMOUDZOU;47
CANNES;NICE;28
CANNES;BOURGES;32
CANNES;EVREUX;67
CANNES;QUIMPER;94
CANNES;BREST;98
CANNES;TOULOUSE;77
CANNES;ORLEANS;86
CANNES;STRASBOURG;89
CANNES;ROUEN;46
CANNES;LE HAVRE;74
CANNES;MONTAUBAN;71
CANNES;FREJUS;32
CANNES;FORT-DE-FRANCE;72
CANNES;SAINT-DENIS;97
CANNES;SAINT-LOUIS;92
CANNES;MAMOUDZOU;58
NICE;BOURGES;30
NICE;EVREUX;54
NICE;QUIMPER;70
NICE;BREST;70
NICE;TOULOUSE;51
NICE;ORLEANS;58
NICE;CALAIS;86
NICE;STRASBOURG;66
NICE;COLMAR;97
NICE;ROUEN;33
NICE;MONTAUBAN;44
NICE;FREJUS;61
NICE;LIMOGES;90
NICE;FORT-DE-FRANCE;62
NICE;MAMOUDZOU;31
TROYES;ARLES;71
TROYES;LA ROCHELLE;58
TROYES;DIJON;92
TROYES;VALENCE;49
TROYES;NIMES;87
TROYES;BORDEAUX;48
TROYES;PESSAC;45
TROYES;MERIGNAC;42
TROYES;RENNES;57
TROYES;GRENOBLE;41
TROYES;NANTES;71
TROYES;SAINT-NAZAIRE;64
TROYES;REIMS;62
TROYES;VANNES;80
TROYES;VENISSIEUX;54
TROYES;LYON;58
TROYES;VILLEURBANNE;55
TROYES;CHAMBERY;74
TROYES;AVIGNON;66
TROYES;LA ROCHE-SUR-YON;70
TROYES;CAYENNE;93
TROYES;SAINT-ANDRE;64
TROYES;SAINT-PAUL;43
TROYES;SAINT-PIERRE;84
TROYES;TAMPON;72
NARBONNE;BEZIERS;33
NARBONNE;PERPIGNAN;55
NARBONNE;CHAMBERY;99
NARBONNE;ANNECY;58
NARBONNE;PARIS;93
NARBONNE;CHELLES;74
NARBONNE;MEAUX;58
NARBONNE;NIORT;67
NARBONNE;AMIENS;87
NARBONNE;POITIERS;35
NARBONNE;NEUILLY-SUR-SEINE;97
NARBONNE;LEVALLOIS-PERRET;95
NARBONNE;ASNIERES-SUR-SEINE;94
NARBONNE;COLOMBES;97
NARBONNE;COURBEVOIE;98
NARBONNE;CLICHY;94
NARBONNE;MONTREUIL;86
NARBONNE;AULNAY-SOUS-BOIS;75
NARBONNE;SAINT-DENIS;87
NARBONNE;NOISY-LE-GRAND;79
NARBONNE;AUBERVILLIERS;86
NARBONNE;PANTIN;86
NARBONNE;BONDY;81
NARBONNE;EPINAY-SUR-SEINE;90
NARBONNE;DRANCY;80
NARBONNE;LE BLANC-MESNIL;80
NARBONNE;FONTENAY-SOUS-BOIS;84
NARBONNE;SAINT-MAUR-DES-FOSSES;87
NARBONNE;VILLEJUIF;95
NARBONNE;VITRY-SUR-SEINE;94
NARBONNE;CHAMPIGNY-SUR-MARNE;84
NARBONNE;IVRY-SUR-SEINE;93
NARBONNE;MAISONS-ALFORT;91
NARBONNE;CRETEIL;90
NARBONNE;ARGENTEUIL;95
NARBONNE;SARCELLES;82
NARBONNE;TAMPON;97
AIX-EN-PROVENCE;MARSEILLE;17
AIX-EN-PROVENCE;ARLES;88
AIX-EN-PROVENCE;CAEN;79
AIX-EN-PROVENCE;VALENCE;78
AIX-EN-PROVENCE;RENNES;78
AIX-EN-PROVENCE;SAINT-ETIENNE;75
AIX-EN-PROVENCE;NANTES;82
AIX-EN-PROVENCE;SAINT-NAZAIRE;42
AIX-EN-PROVENCE;PAU;57
AIX-EN-PROVENCE;VENISSIEUX;91
AIX-EN-PROVENCE;LYON;89
AIX-EN-PROVENCE;VILLEURBANNE;92
AIX-EN-PROVENCE;HYERES;85
AIX-EN-PROVENCE;TOULON;66
AIX-EN-PROVENCE;LA SEYNE-SUR-MER;62
AIX-EN-PROVENCE;AVIGNON;69
AIX-EN-PROVENCE;LA ROCHE-SUR-YON;95
AIX-EN-PROVENCE;CAYENNE;83
MARSEILLE;ARLES;82
MARSEILLE;CAEN;70
MARSEILLE;DIJON;98
MARSEILLE;VALENCE;77
MARSEILLE;RENNES;75
MARSEILLE;SAINT-ETIENNE;61
MARSEILLE;NANTES;75
MARSEILLE;SAINT-NAZAIRE;55
MARSEILLE;METZ;96
MARSEILLE;PAU;60
MARSEILLE;VENISSIEUX;88
MARSEILLE;LYON;85
MARSEILLE;VILLEURBANNE;89
MARSEILLE;HYERES;83
MARSEILLE;TOULON;63
MARSEILLE;LA SEYNE-SUR-MER;58
MARSEILLE;AVIGNON;64
MARSEILLE;LA ROCHE-SUR-YON;88
MARSEILLE;ABYMES;94
MARSEILLE;CAYENNE;71
ARLES;LA ROCHELLE;40
ARLES;DIJON;26
ARLES;VALENCE;24
ARLES;NIMES;31
ARLES;MONTPELLIER;83
ARLES;RENNES;17
ARLES;SAINT-ETIENNE;37
ARLES;NANTES;6
ARLES;SAINT-NAZAIRE;77
ARLES;CHOLET;67
ARLES;REIMS;68
ARLES;LAVAL;86
ARLES;VENISSIEUX;17
ARLES;LYON;12
ARLES;VILLEURBANNE;16
ARLES;AVIGNON;20
ARLES;LA ROCHE-SUR-YON;6
ARLES;CAYENNE;23
ARLES;SAINT-ANDRE;52
ARLES;SAINT-PAUL;60
ARLES;TAMPON;89
CAEN;NANCY;61
CAEN;METZ;26
CAEN;CLERMONT-FERRAND;53
CAEN;PAU;41
CAEN;LE HAVRE;63
CAEN;HYERES;30
CAEN;TOULON;22
CAEN;LA SEYNE-SUR-MER;21
CAEN;ABYMES;77
CAEN;SAINT-DENIS;92
LA ROCHELLE;DIJON;44
LA ROCHELLE;VALENCE;44
LA ROCHELLE;NIMES;34
